ano,ubigeo,departamento,provincia,distrito,tipo_municipalidad,serenazgo_2024,serenazgo_2025,p69_2_t,p69_2_m,p69_2_h,tiene_auto_camioneta,p70a_1_1,p70a_1_2,p70a_1_3,tiene_radio,p70a_6_1,p70a_6_2,p70a_6_3,tiene_camaras,p70a_7_1,p70a_7_2,p70a_7_3,p70a_7_4,tiene_central_videovigilancia,p70a_10_1,p70a_10_2,p70a_10_3,tiene_chaleco_antibalas,p70a_13_1,total_intervenciones
2025,010516,AMAZONAS,LUYA,SAN CRISTOBAL,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010518,AMAZONAS,LUYA,SAN JERONIMO,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010520,AMAZONAS,LUYA,SANTA CATALINA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010521,AMAZONAS,LUYA,SANTO TOMAS,Distrital,No,No,NA,NA,NA,Sí,2,1,1,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,6
2025,010522,AMAZONAS,LUYA,TINGO,Distrital,No,No,NA,NA,NA,Sí,2,2,0,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,10
2025,010523,AMAZONAS,LUYA,TRITA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,Provincial,Sí,Sí,1,0,1,Sí,1,1,0,No,NA,NA,NA,Sí,22,22,0,0,Sí,1,1,0,No,NA,0
2025,010602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,Distrital,Sí,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,Sí,4,2,2,0,No,NA,NA,NA,No,NA,0
2025,010605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,Distrital,Sí,Sí,3,1,2,Sí,2,2,0,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,17
2025,010608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,Provincial,Sí,Sí,45,1,44,Sí,2,2,0,Sí,12,12,0,Sí,14,14,0,14,Sí,1,1,0,Sí,24,671
2025,010702,AMAZONAS,UTCUBAMBA,CAJARURO,Distrital,Sí,Sí,12,2,10,Sí,1,1,0,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,Sí,2,240
2025,010703,AMAZONAS,UTCUBAMBA,CUMBA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010705,AMAZONAS,UTCUBAMBA,JAMALCA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
