ubigeo,llave_distrito,dpto_hecho_new,prov_hecho,dist_hecho,denuncias_2024_2026,vehiculos_pnp,vehiculos_operativos,comisarias
010522,AMAZONAS|LUYA|TINGO,AMAZONAS,LUYA,TINGO,101,2,0,1
010523,AMAZONAS|LUYA|TRITA,AMAZONAS,LUYA,TRITA,17,0,0,0
010601,AMAZONAS|RODRIGUEZ DE MENDOZA|SAN NICOLAS,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,605,3,3,1
010602,AMAZONAS|RODRIGUEZ DE MENDOZA|CHIRIMOTO,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,35,2,1,0
010603,AMAZONAS|RODRIGUEZ DE MENDOZA|COCHAMAL,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,11,0,0,0
010604,AMAZONAS|RODRIGUEZ DE MENDOZA|HUAMBO,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,108,2,0,1
010605,AMAZONAS|RODRIGUEZ DE MENDOZA|LIMABAMBA,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,78,0,0,1
010606,AMAZONAS|RODRIGUEZ DE MENDOZA|LONGAR,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,103,1,1,1
010607,AMAZONAS|RODRIGUEZ DE MENDOZA|MARISCAL BENAVIDES,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,37,0,0,0
010608,AMAZONAS|RODRIGUEZ DE MENDOZA|MILPUC,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,4,0,0,0
010609,AMAZONAS|RODRIGUEZ DE MENDOZA|OMIA,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,188,0,0,1
010610,AMAZONAS|RODRIGUEZ DE MENDOZA|SANTA ROSA,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,37,1,0,1
010611,AMAZONAS|RODRIGUEZ DE MENDOZA|TOTORA,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,5,0,0,0
010612,AMAZONAS|RODRIGUEZ DE MENDOZA|VISTA ALEGRE,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,23,0,0,0
010701,AMAZONAS|UTCUBAMBA|BAGUA GRANDE,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,5507,23,13,1
010702,AMAZONAS|UTCUBAMBA|CAJARURO,AMAZONAS,UTCUBAMBA,CAJARURO,865,1,1,1
010703,AMAZONAS|UTCUBAMBA|CUMBA,AMAZONAS,UTCUBAMBA,CUMBA,205,6,5,2
010704,AMAZONAS|UTCUBAMBA|EL MILAGRO,AMAZONAS,UTCUBAMBA,EL MILAGRO,332,1,0,1
010705,AMAZONAS|UTCUBAMBA|JAMALCA,AMAZONAS,UTCUBAMBA,JAMALCA,126,1,0,2
010706,AMAZONAS|UTCUBAMBA|LONYA GRANDE,AMAZONAS,UTCUBAMBA,LONYA GRANDE,432,1,1,1
010707,AMAZONAS|UTCUBAMBA|YAMON,AMAZONAS,UTCUBAMBA,YAMON,32,0,0,0
020101,ANCASH|HUARAZ|HUARAZ,ANCASH,HUARAZ,HUARAZ,8576,198,79,3
020102,ANCASH|HUARAZ|COCHABAMBA,ANCASH,HUARAZ,COCHABAMBA,6,0,0,0
020103,ANCASH|HUARAZ|COLCABAMBA,ANCASH,HUARAZ,COLCABAMBA,3,0,0,0
020104,ANCASH|HUARAZ|HUANCHAY,ANCASH,HUARAZ,HUANCHAY,3,0,0,0
020105,ANCASH|HUARAZ|INDEPENDENCIA,ANCASH,HUARAZ,INDEPENDENCIA,2175,5,3,1
020106,ANCASH|HUARAZ|JANGAS,ANCASH,HUARAZ,JANGAS,171,0,0,0
