AÑO,MES,UBIGEO,NOMBDEPTO,NOMBPROV,NOMBDIST,TIPO_VEHICULO,TIPO_UNIDAD,TIPO_VEHICULO_PRIO,TIPO_PROCEDENCIA,ESTADO,AÑOFABRICACION,CANTIDAD
2025,JULIO,100201,HUANUCO,AMBO,AMBO,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2013,1
2025,JULIO,40101,AREQUIPA,AREQUIPA,AREQUIPA,CAMION,UNIDAD ESPECIALIZADA,OTROS,DONACION,OPERATIVO,1993,1
2025,JULIO,110101,ICA,ICA,ICA,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2014,1
2025,JULIO,90403,HUANCAVELICA,CASTROVIRREYNA,AURAHUA,CAMIONETA,COMISARIA BASICA,CAMIONETA,DONACION,OPERATIVO,2017,1
2025,JULIO,200601,PIURA,SULLANA,SULLANA,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,DONACION,INOPERATIVO RECUPERABLE,2024,2
2025,JULIO,40101,AREQUIPA,AREQUIPA,AREQUIPA,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2013,1
2025,JULIO,150112,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,AFECTACION EN USO,INOPERATIVO RECUPERABLE,2024,2
2025,JULIO,100101,HUANUCO,HUANUCO,HUANUCO,OMNIBUS,UNIDAD ESPECIALIZADA,OTROS,COMPRA DIRECTA,OPERATIVO,2019,1
2025,JULIO,240304,TUMBES,ZARUMILLA,PAPAYAL,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,DONACION,OPERATIVO,2023,1
2025,JULIO,230101,TACNA,TACNA,TACNA,MOTOCICLETA,UNIDAD ADMINISTRATIVA,MOTOCICLETA,OFECOD,INOPERATIVO IRRECUPERABLE,1990,1
2025,JULIO,150131,LIMA METROPOLITANA,LIMA,SAN ISIDRO,AUTO,UNIDAD ESPECIALIZADA,AUTO,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2012,3
2025,JULIO,120108,JUNIN,HUANCAYO,CHONGOS ALTO,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2016,1
2025,JULIO,150101,LIMA METROPOLITANA,LIMA,LIMA,AUTO,UNIDAD ESPECIALIZADA,AUTO,OFECOD,OPERATIVO,2009,1
2025,JULIO,200203,PIURA,AYABACA,JILILI,CAMIONETA,COMISARIA BASICA,CAMIONETA,DONACION,OPERATIVO,2024,1
2025,JULIO,60701,CAJAMARCA,HUALGAYOC,BAMBAMARCA,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2015,1
2025,JULIO,90309,HUANCAVELICA,ANGARAES,JULCAMARCA,CAMIONETA,COMISARIA BASICA,CAMIONETA,OTROS,OPERATIVO,2020,1
2025,JULIO,220901,SAN MARTIN,SAN MARTIN,TARAPOTO,MOTOCICLETA,UNIDAD ADMINISTRATIVA,MOTOCICLETA,AFECTACION EN USO,OPERATIVO,2007,1
2025,JULIO,21801,ÁNCASH,SANTA,CHIMBOTE,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,DONACION,OPERATIVO,2024,1
2025,JULIO,160102,LORETO,MAYNAS,ALTO NANAY,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2008,1
2025,JULIO,240301,TUMBES,ZARUMILLA,ZARUMILLA,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2014,1
