ubigeo,dpto_hecho_new,prov_hecho,dist_hecho,indicador,valor
010301,AMAZONAS,BONGARA,JUMBILLA,denuncias_2024_2026,139
010301,AMAZONAS,BONGARA,JUMBILLA,vehiculos_pnp,2
010301,AMAZONAS,BONGARA,JUMBILLA,vehiculos_operativos,1
010301,AMAZONAS,BONGARA,JUMBILLA,comisarias,1
010302,AMAZONAS,BONGARA,CHISQUILLA,denuncias_2024_2026,7
010302,AMAZONAS,BONGARA,CHISQUILLA,vehiculos_pnp,0
010302,AMAZONAS,BONGARA,CHISQUILLA,vehiculos_operativos,0
010302,AMAZONAS,BONGARA,CHISQUILLA,comisarias,0
010303,AMAZONAS,BONGARA,CHURUJA,denuncias_2024_2026,12
010303,AMAZONAS,BONGARA,CHURUJA,vehiculos_pnp,0
010303,AMAZONAS,BONGARA,CHURUJA,vehiculos_operativos,0
010303,AMAZONAS,BONGARA,CHURUJA,comisarias,1
010304,AMAZONAS,BONGARA,COROSHA,denuncias_2024_2026,2
010304,AMAZONAS,BONGARA,COROSHA,vehiculos_pnp,0
010304,AMAZONAS,BONGARA,COROSHA,vehiculos_operativos,0
010304,AMAZONAS,BONGARA,COROSHA,comisarias,0
010305,AMAZONAS,BONGARA,CUISPES,denuncias_2024_2026,7
010305,AMAZONAS,BONGARA,CUISPES,vehiculos_pnp,0
010305,AMAZONAS,BONGARA,CUISPES,vehiculos_operativos,0
010305,AMAZONAS,BONGARA,CUISPES,comisarias,0
010306,AMAZONAS,BONGARA,FLORIDA,denuncias_2024_2026,205
010306,AMAZONAS,BONGARA,FLORIDA,vehiculos_pnp,4
010306,AMAZONAS,BONGARA,FLORIDA,vehiculos_operativos,2
010306,AMAZONAS,BONGARA,FLORIDA,comisarias,1
010307,AMAZONAS,BONGARA,JAZAN,denuncias_2024_2026,608
010307,AMAZONAS,BONGARA,JAZAN,vehiculos_pnp,12
010307,AMAZONAS,BONGARA,JAZAN,vehiculos_operativos,9
010307,AMAZONAS,BONGARA,JAZAN,comisarias,1
010308,AMAZONAS,BONGARA,RECTA,denuncias_2024_2026,2
010308,AMAZONAS,BONGARA,RECTA,vehiculos_pnp,0
010308,AMAZONAS,BONGARA,RECTA,vehiculos_operativos,0
010308,AMAZONAS,BONGARA,RECTA,comisarias,0
010309,AMAZONAS,BONGARA,SAN CARLOS,denuncias_2024_2026,13
010309,AMAZONAS,BONGARA,SAN CARLOS,vehiculos_pnp,0
010309,AMAZONAS,BONGARA,SAN CARLOS,vehiculos_operativos,0
010309,AMAZONAS,BONGARA,SAN CARLOS,comisarias,0
010310,AMAZONAS,BONGARA,SHIPASBAMBA,denuncias_2024_2026,5
010310,AMAZONAS,BONGARA,SHIPASBAMBA,vehiculos_pnp,0
010310,AMAZONAS,BONGARA,SHIPASBAMBA,vehiculos_operativos,0
010310,AMAZONAS,BONGARA,SHIPASBAMBA,comisarias,0
010311,AMAZONAS,BONGARA,VALERA,denuncias_2024_2026,31
010311,AMAZONAS,BONGARA,VALERA,vehiculos_pnp,1
010311,AMAZONAS,BONGARA,VALERA,vehiculos_operativos,0
010311,AMAZONAS,BONGARA,VALERA,comisarias,1
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,denuncias_2024_2026,133
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,vehiculos_pnp,0
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,vehiculos_operativos,0
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,comisarias,1
010401,AMAZONAS,CONDORCANQUI,NIEVA,denuncias_2024_2026,708
010401,AMAZONAS,CONDORCANQUI,NIEVA,vehiculos_pnp,3
010401,AMAZONAS,CONDORCANQUI,NIEVA,vehiculos_operativos,3
010401,AMAZONAS,CONDORCANQUI,NIEVA,comisarias,1
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,denuncias_2024_2026,12
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,vehiculos_pnp,0
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,vehiculos_operativos,0
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,comisarias,0
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,denuncias_2024_2026,13
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,vehiculos_pnp,0
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,vehiculos_operativos,0
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,comisarias,0
010501,AMAZONAS,LUYA,LAMUD,denuncias_2024_2026,233
010501,AMAZONAS,LUYA,LAMUD,vehiculos_pnp,3
010501,AMAZONAS,LUYA,LAMUD,vehiculos_operativos,1
010501,AMAZONAS,LUYA,LAMUD,comisarias,1
010502,AMAZONAS,LUYA,CAMPORREDONDO,denuncias_2024_2026,191
010502,AMAZONAS,LUYA,CAMPORREDONDO,vehiculos_pnp,1
010502,AMAZONAS,LUYA,CAMPORREDONDO,vehiculos_operativos,1
010502,AMAZONAS,LUYA,CAMPORREDONDO,comisarias,1
010503,AMAZONAS,LUYA,COCABAMBA,denuncias_2024_2026,16
010503,AMAZONAS,LUYA,COCABAMBA,vehiculos_pnp,0
010503,AMAZONAS,LUYA,COCABAMBA,vehiculos_operativos,0
010503,AMAZONAS,LUYA,COCABAMBA,comisarias,1
010504,AMAZONAS,LUYA,COLCAMAR,denuncias_2024_2026,81
010504,AMAZONAS,LUYA,COLCAMAR,vehiculos_pnp,1
010504,AMAZONAS,LUYA,COLCAMAR,vehiculos_operativos,1
010504,AMAZONAS,LUYA,COLCAMAR,comisarias,1
010505,AMAZONAS,LUYA,CONILA,denuncias_2024_2026,26
010505,AMAZONAS,LUYA,CONILA,vehiculos_pnp,0
010505,AMAZONAS,LUYA,CONILA,vehiculos_operativos,0
010505,AMAZONAS,LUYA,CONILA,comisarias,0
010506,AMAZONAS,LUYA,INGUILPATA,denuncias_2024_2026,13
010506,AMAZONAS,LUYA,INGUILPATA,vehiculos_pnp,1
010506,AMAZONAS,LUYA,INGUILPATA,vehiculos_operativos,0
010506,AMAZONAS,LUYA,INGUILPATA,comisarias,1
