AÑO,MES,DEPENDENCIAS_GENERALES,DEPENDENCIAS,UNIDADES,DEPARTAMENTO,PROVINCIA,DISTRITO,SEXO,CATEGORIA_OFI_SUB,CATEGORIA_ARM_SERV,FUNCION,APT.PSICOSOMATICA,ESTUDIOS_ADICIONALES,PROFESION,ORIGINARIOS,EXTRANJERO,CLASIFICACION,CANTIDAD
2026,MARZO,COMANDANCIA GENERAL,DIRECCION DE EDUCACION Y DOCTRINA,ESCUELA DE EDUCACION SUPERIOR TECNICO PROFESIONAL PUENTE PIEDRA,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,MASCULINO,OFICIAL,ARMAS,ADM,APTO COD. 0,MAESTRÍA,CONTABILIDAD,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDANCIA GENERAL,DIRECCION DE PRESTACIONES DE SALUD,DIRECCION DE SANIDAD POLICIAL,MOQUEGUA,MARISCAL NIETO,SAMEGUA,FEMENINO,OFICIAL,SERVICIOS,ADM,APTO COD. 0,TÍTULO,ENFERMERÍA,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL LIMA SUR,REGIÓN LIMA,CAÑETE,IMPERIAL,MASCULINO,SUB OFICIAL,ARMAS,OPE,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,COMISARÍAS BÁSICAS,85
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL LORETO,LORETO,MAYNAS,IQUITOS,FEMENINO,SUB OFICIAL,ARMAS,ADM,APTO COD. 0,TÍTULO,PSICOLOGÍA,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL PUNO,PUNO,AZANGARO,SAN ANTON,MASCULINO,SUB OFICIAL,ARMAS,OPE,APTO COD. 1,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,INGLÉS,COMISARÍAS BÁSICAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION DE CRIMINALISTICA,SECRETARIA,LORETO,MAYNAS,IQUITOS,FEMENINO,SUB OFICIAL,ARMAS,OPE,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,5
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL LIMA CENTRO,LIMA METROPOLITANA,LIMA,SURQUILLO,FEMENINO,SUB OFICIAL,ARMAS,OPE,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,DIRECCION DE TRANSITO; TRANSPORTE Y SEGURIDAD VIAL,LIMA METROPOLITANA,LIMA,LA VICTORIA,MASCULINO,OFICIAL,ARMAS,ADM,APTO COD. 0,MAESTRÍA,EDUCACIÓN,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,1
2026,MARZO,SECRETARIA EJECUTIVA,DIRECCION DE RECURSOS HUMANOS,SECRETARIA,LIMA METROPOLITANA,LIMA,RIMAC,MASCULINO,OFICIAL,SERVICIOS,ADM,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,4
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,DIRECCION DE TURISMO,MOQUEGUA,ILO,ILO,FEMENINO,SUB OFICIAL,ARMAS,OPE,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,COMISARÍAS ESPECIALIZADAS,3
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL CAJAMARCA,CAJAMARCA,CAJAMARCA,CAJAMARCA,MASCULINO,SUB OFICIAL,ARMAS,ADM,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,INGLÉS,OTRAS DEPENDENCIAS,2
2026,MARZO,INSPECTORIA GENERAL,DIRECCION DE INVESTIGACIONES,INSPECTORIAS DESCENTRALIZADAS LIMA - CALLAO - LIMA - PROVINCIAS,LIMA METROPOLITANA,LIMA,LIMA,FEMENINO,SUB OFICIAL,ARMAS,ADM,APTO COD. 0,TÍTULO,DERECHO,CASTELLANO,INGLÉS,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE INVESTIGACION CRIMINAL,DIRECCION DE INVESTIGACION DE LAVADOS DE ACTIVOS,TUMBES,TUMBES,TUMBES,MASCULINO,SUB OFICIAL,ARMAS,OPE,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,5
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,DIRECCION DE OPERACIONES ESPECIALES,AREQUIPA,AREQUIPA,CERRO COLORADO,MASCULINO,SUB OFICIAL,SERVICIOS,OPE,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL AREQUIPA,AREQUIPA,AREQUIPA,YANAHUARA,MASCULINO,SUB OFICIAL,ARMAS,ADM,APTO COD. 0,TÍTULO,ING. SISTEMAS,CASTELLANO,INGLÉS,OTRAS DEPENDENCIAS,1
