id,edad,ingresos,sexo,delito_generico,situacion_juridica,departamento,nombre_del_penal,cluster_kmeans
147,57,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,4
148,44,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,4
149,38,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,3
150,26,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
151,37,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
152,23,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
153,61,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,4
154,47,2,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,3
155,44,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,4
156,21,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,1
157,26,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
158,34,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,1
159,27,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
160,25,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
161,27,1,Masculino,DELITOS CONTRA LA ADMINISTRACION PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
162,57,1,Masculino,DELITOS CONTRA LA TRANQUILIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,4
163,42,1,Masculino,DELITOS CONTRA LA TRANQUILIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,4
164,20,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
165,42,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,4
